index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
175,-1.38,-42.33,-27.33,-54.94,-234.21,250.36,36.6,316.36,31.28,-3.95,-92.94,-71.42,1.085,13.212,10.347,0.671
176,-0.83,-41.38,-28.37,-57.86,-223.31,219.54,50.23,354.94,-40.98,-13.66,-146.04,-30.08,0.657,13.045,10.741,0.88
177,-0.71,-40.07,-26.94,-57.57,-227.08,226.14,67.76,393.91,-123.42,-26.12,-184.05,14.84,0.521,11.559,8.969,0.571
178,-1.05,-42.96,-28.34,-52.61,-208.46,215.13,57.7,364.56,-149.79,-20.89,-169.6,28.29,0.628,8.19,5.754,1.264
179,-0.67,-42.13,-26.68,-57.26,-221.03,219.7,64.27,380.17,-106.54,-22.85,-172.28,3.57,0.644,13.576,5.126,0.684
180,-1.22,-42.52,-26.17,-58.76,-226.3,224.62,72.71,400.29,-148.2,-29.55,-190.82,29.28,0.557,10.344,6.019,0.603
181,-0.26,-40.87,-26.87,-56.76,-240.79,235.26,30.56,315.54,52.32,-0.24,-93.13,-75.75,0.952,19.409,10.568,0.684
182,-1.45,-41.87,-28.39,-55.52,-230.62,230.28,58.27,384.8,-66.05,-19.83,-168.84,-16.69,0.569,17.308,14.69,0.61
183,-1.33,-41.64,-28.54,-57.0,-213.44,204.03,20.78,237.35,69.63,6.78,-34.31,-79.09,0.994,9.471,8.799,0.992
184,-0.87,-40.63,-28.04,-60.6,-227.7,221.48,39.85,333.49,12.25,-7.68,-120.7,-55.72,0.7,18.149,14.004,0.954
185,-0.6,-40.78,-28.8,-64.7,-222.74,238.62,43.76,316.94,15.45,-6.07,-102.33,-64.8,0.881,17.651,11.039,0.596
186,-0.87,-41.44,-28.76,-58.73,-229.07,247.06,41.13,314.7,7.76,-4.06,-90.27,-68.39,1.351,17.431,5.397,0.664
187,-1.12,-42.19,-29.46,-56.27,-237.14,235.8,35.05,295.46,37.07,-0.53,-73.29,-74.1,1.266,7.696,7.729,0.7
188,-0.54,-37.83,-29.39,-47.71,-204.31,212.29,18.25,246.58,47.97,5.42,-44.74,-74.57,0.84,19.639,9.659,1.191
189,-0.86,-41.21,-28.42,-58.77,-229.14,229.01,25.71,281.12,60.86,2.57,-67.08,-78.07,0.943,12.758,12.895,0.913
190,-0.8,-41.88,-27.97,-58.18,-225.09,217.26,58.59,372.07,-69.67,-19.22,-159.66,-16.64,0.685,19.141,5.566,0.699
191,-1.11,-41.48,-27.53,-58.36,-229.65,225.08,60.55,374.94,-91.72,-20.14,-161.8,-6.13,0.83,10.293,5.453,0.825
192,-0.72,-39.91,-27.98,-56.0,-219.44,207.43,21.68,242.12,59.0,7.11,-33.46,-75.46,1.122,7.6,6.716,0.907
193,-0.02,-42.57,-29.68,-62.27,-242.83,233.11,29.94,292.29,68.45,3.45,-65.3,-86.4,1.292,18.37,6.936,0.528
194,-0.96,-44.48,-29.09,-57.52,-230.9,246.11,38.61,318.61,21.21,-4.01,-96.31,-69.71,1.119,13.898,9.385,0.683
195,-0.91,-42.78,-27.29,-63.6,-236.41,246.97,37.37,323.34,39.09,-2.9,-97.04,-74.29,1.032,19.621,10.914,0.655
196,-1.43,-41.99,-25.15,-57.68,-218.84,214.28,57.75,379.14,-95.18,-20.45,-172.63,1.74,0.51,13.83,8.456,1.123
197,-0.59,-43.37,-28.25,-60.79,-250.14,254.17,22.11,276.01,100.0,6.92,-46.9,-92.42,1.205,15.927,14.614,0.517
198,-0.89,-41.96,-29.57,-57.19,-229.51,231.4,43.89,343.34,-17.32,-8.41,-126.74,-47.08,0.889,15.291,8.95,0.826
199,-0.93,-42.1,-29.47,-59.06,-244.73,265.35,20.64,240.89,87.37,9.93,-9.08,-90.23,1.474,8.524,11.457,0.637
200,-1.08,-42.31,-27.84,-52.79,-217.58,216.27,52.52,368.41,-117.38,-16.98,-163.35,10.2,0.699,13.365,5.548,1.316
201,-1.13,-42.49,-25.93,-60.52,-220.93,229.07,42.17,330.79,-8.64,-7.87,-118.39,-49.43,0.838,12.657,9.299,0.92
202,-1.04,-42.9,-26.53,-57.1,-224.35,240.67,21.1,243.73,78.43,8.71,-20.7,-85.84,1.337,14.001,7.673,0.773
203,-1.28,-40.28,-27.95,-57.86,-230.39,253.46,46.84,331.72,-6.66,-8.0,-106.87,-60.18,1.191,20.51,6.368,0.685
204,-0.16,-40.43,-30.44,-57.34,-230.5,221.45,60.86,383.5,-94.21,-22.02,-173.55,-0.77,0.566,7.739,13.832,0.685
205,-0.53,-40.21,-30.12,-55.77,-252.98,252.96,47.39,352.93,-17.95,-9.45,-124.72,-51.28,1.211,7.186,8.255,0.511
206,-1.07,-42.68,-27.04,-57.24,-226.16,228.8,46.21,337.83,-24.4,-9.76,-124.43,-43.43,0.987,8.274,6.763,0.773
207,-0.88,-41.09,-27.87,-59.89,-219.39,220.1,44.48,340.55,-20.19,-10.51,-133.8,-39.78,0.636,11.786,14.355,1.05
208,-0.84,-40.93,-29.01,-54.73,-221.46,205.28,37.91,323.13,-6.06,-5.37,-114.53,-48.05,0.847,18.335,6.348,1.147
209,-1.34,-41.06,-27.86,-59.41,-219.08,209.7,41.25,329.79,-6.15,-9.22,-121.78,-46.89,0.696,20.836,8.535,1.133
210,-1.21,-40.78,-27.71,-55.51,-220.99,211.13,28.35,289.12,37.64,-0.05,-80.38,-68.01,0.887,17.385,8.601,1.07
211,-1.13,-40.54,-26.58,-56.46,-221.7,210.1,38.37,331.97,-2.89,-7.75,-124.08,-47.17,0.675,17.925,9.677,1.172
212,-1.06,-41.28,-26.61,-59.22,-245.05,251.44,11.27,216.69,121.77,11.13,8.2,-87.77,1.288,18.719,12.82,0.744
213,-0.93,-42.3,-25.91,-59.3,-219.59,224.55,52.45,362.97,-46.3,-15.89,-154.69,-26.5,0.573,14.543,12.602,0.735
214,-1.15,-40.87,-27.63,-55.46,-232.97,238.51,55.99,371.15,-53.46,-16.12,-149.52,-31.23,0.95,19.91,5.038,0.507
215,-0.87,-41.87,-27.76,-61.29,-243.49,252.65,64.8,411.87,-93.83,-22.79,-182.29,-4.93,0.723,19.064,10.957,0.626
216,-0.44,-43.09,-27.44,-58.15,-239.27,268.91,15.08,220.22,103.22,13.24,13.41,-90.45,1.538,11.882,10.426,0.594
217,-1.07,-41.98,-27.45,-57.75,-245.05,256.64,42.97,344.61,10.5,-7.56,-112.9,-64.46,1.197,16.845,7.807,0.547
218,-1.27,-42.08,-27.55,-57.09,-223.67,221.94,51.39,366.83,-54.28,-15.87,-156.83,-21.67,0.598,10.819,14.01,0.986
219,-1.21,-40.75,-27.28,-53.36,-231.18,250.4,14.56,217.8,103.56,10.78,5.66,-88.01,1.258,18.835,10.672,0.762
220,-0.93,-41.91,-26.73,-57.91,-225.57,203.47,59.03,372.54,-88.48,-20.49,-165.66,-2.24,0.666,7.986,5.293,0.911
221,-1.09,-40.64,-26.86,-55.02,-224.11,223.85,56.39,371.43,-90.58,-17.64,-160.13,-5.78,0.761,16.095,5.262,1.012
222,-1.0,-38.65,-26.69,-57.97,-226.78,238.47,58.99,367.24,-75.78,-19.9,-157.34,-13.33,0.698,8.25,10.429,0.596
223,-1.47,-42.42,-27.73,-56.56,-225.23,219.58,61.89,390.27,-108.96,-22.61,-181.11,9.11,0.506,10.365,11.856,0.973
224,-0.86,-40.31,-27.69,-61.11,-228.96,238.29,75.15,403.69,-164.37,-29.99,-191.22,35.39,0.602,13.804,6.161,0.691
225,-1.27,-43.35,-25.65,-58.01,-221.03,229.41,37.81,332.06,14.06,-6.39,-119.51,-58.62,0.729,15.634,13.773,0.842
226,-1.37,-43.08,-28.09,-56.54,-234.44,251.14,25.93,275.03,73.03,4.12,-50.99,-87.36,1.165,16.24,11.926,0.691
227,-0.88,-40.39,-29.73,-58.1,-228.27,234.44,42.85,329.86,-9.46,-7.31,-115.13,-52.07,0.92,14.809,9.049,0.823
228,-1.42,-40.81,-28.29,-56.83,-237.45,238.5,35.42,284.58,47.81,1.68,-56.47,-80.54,1.488,15.678,5.123,0.688
229,-1.2,-39.93,-28.71,-56.01,-235.02,239.37,30.7,288.43,51.07,1.01,-68.99,-77.76,1.063,12.784,10.636,0.767
230,-0.82,-40.84,-27.7,-59.92,-236.87,249.84,27.54,291.96,61.94,3.1,-66.38,-82.55,1.101,20.357,11.066,0.779
231,-1.2,-40.05,-26.39,-60.59,-220.55,217.32,52.81,364.16,-75.47,-16.01,-155.15,-9.5,0.64,17.657,7.421,1.314
232,-1.14,-40.71,-29.77,-53.85,-228.55,215.99,50.68,348.44,-45.12,-13.66,-138.71,-30.57,0.859,8.264,6.44,0.777
233,-0.92,-43.82,-29.38,-50.17,-230.64,242.74,34.27,329.37,17.38,-4.54,-109.58,-66.63,0.936,16.719,12.265,0.566
234,-1.14,-41.08,-27.58,-59.89,-220.48,197.2,31.13,293.51,28.46,-0.48,-86.54,-62.17,0.927,15.554,6.243,1.101
235,-0.49,-42.59,-25.69,-62.09,-227.91,235.18,35.02,299.84,47.54,0.74,-77.07,-79.03,1.246,18.938,5.443,0.568
236,-1.03,-41.77,-28.21,-56.05,-232.68,237.66,41.56,327.38,-1.03,-7.87,-110.88,-54.82,0.979,8.24,9.853,0.767
237,-0.96,-41.45,-28.03,-59.88,-225.65,218.29,47.82,345.59,-10.16,-11.48,-131.81,-46.6,0.742,18.51,8.384,0.776
238,-0.3,-41.63,-28.26,-58.29,-226.22,225.13,39.05,311.12,18.76,-4.39,-96.39,-67.26,1.055,13.663,6.214,0.642
239,-1.28,-41.72,-27.03,-57.73,-222.88,202.32,41.12,348.52,-17.61,-9.13,-141.12,-37.07,0.589,15.548,11.435,1.234
240,-0.57,-40.84,-29.28,-57.47,-228.55,226.99,45.27,329.65,-6.32,-8.51,-114.73,-54.97,0.979,12.748,6.653,0.645
241,-1.01,-42.4,-27.14,-59.41,-208.65,214.84,31.86,284.05,24.15,0.26,-76.75,-66.36,1.005,16.038,6.223,1.024
242,-1.73,-40.25,-28.33,-54.25,-226.25,224.3,61.88,374.93,-90.25,-21.21,-163.54,-7.08,0.732,13.868,5.368,0.656
243,-0.92,-41.51,-26.49,-53.95,-202.09,208.0,28.03,293.88,8.52,-0.42,-96.4,-54.36,0.702,14.955,9.981,1.333
244,-1.51,-44.63,-28.51,-60.3,-229.74,248.95,28.07,251.4,70.66,9.09,-19.31,-90.74,1.718,11.251,5.768,0.609
245,-1.24,-41.81,-26.74,-61.22,-222.55,211.28,42.04,312.49,1.54,-6.55,-103.75,-53.69,0.988,8.215,6.106,0.9
246,-1.05,-44.16,-27.02,-58.57,-224.32,224.07,66.67,396.9,-123.47,-25.09,-187.07,14.84,0.508,12.866,9.806,0.69
247,-0.81,-39.84,-29.35,-57.38,-253.01,249.22,24.67,251.11,82.8,7.1,-17.86,-86.96,1.618,8.458,7.369,0.597
248,-0.78,-42.02,-28.67,-54.09,-228.06,237.94,19.46,260.28,86.01,7.08,-44.82,-88.36,0.985,16.216,14.793,0.693
249,-1.39,-41.87,-26.85,-56.82,-221.64,215.74,47.2,334.07,-25.13,-10.78,-124.66,-41.02,0.904,10.227,5.756,0.856
250,-1.06,-40.46,-26.03,-57.77,-218.02,207.96,36.66,326.84,-2.36,-5.75,-121.87,-45.68,0.646,16.86,10.591,1.284
